name,ring,quadrant,isNew,description
Threat modeling,Adopt,Techniques,FALSE,"<p> See our <a href=""https://www.bergler.nl/threat-modeling/"">blog post</a> about this topic. Threat modeling is a process by which potential threats, such as structural vulnerabilities or the absence of appropriate safeguards, can be identified, enumerated, and mitigations can be prioritized. The purpose of threat modeling is to provide defenders with a systematic analysis of what controls or defenses need to be included, given the nature of the system, the probable attacker's profile, the most likely attack vectors, and the assets most desired by an attacker. Threat modeling answers questions like “Where am I most vulnerable to attack?”, “What are the most relevant threats?”, and “What do I need to do to safeguard against these threats?”.

Conceptually, most people incorporate some form of threat modeling in their daily life and don't even realize it. Commuters use threat modeling to consider what might go wrong during the morning drive to work and to take preemptive action to avoid possible accidents. Children engage in threat modeling when determining the best path toward an intended goal while avoiding the playground bully. In a more formal sense, threat modeling has been used to prioritize military defensive preparations since antiquity.</p>"
Future proof software development,Adopt,Techniques,TRUE,"<p>See our <a href=""https://www.youtube.com/watch?v=iHZa6LsxZwY&t=1723s"">video</a> about this topic. </p>"
SOLID,Adopt,Techniques,FALSE,"<p>In object-oriented computer programming, SOLID is a mnemonic acronym for five design principles intended to make software designs more understandable, flexible, and maintainable. The principles are a subset of many principles promoted by American software engineer and instructor Robert C. Martin.</p>"
Shift left,Adopt,Techniques,FALSE,"<p>Shift-left testing is an approach to software testing and system testing in which testing is performed earlier in the lifecycle (i.e. moved left on the project timeline). It is the first half of the maxim ""Test early and often."" It was coined by Larry Smith in 2001.</p>"
Clean Code,Adopt,Techniques,FALSE,"<p>See our <a href=""https://www.bergler.nl/zeven-tekenen-van-rottende-software/"">blog post</a> related to this topic. </p>"
Domain Driven Design,Adopt,Techniques,FALSE,"<p>See our <a href=""https://www.bergler.nl/domain-driven-design-in-gewoon-nederlands-artikel-2-het-model/""> blog post</a> related to this topic.</p>"
EventStorming,Assess,Techniques,FALSE,"<p><p>See our <a href=""https://www.youtube.com/watch?v=_Hfq6qmEUsQ"">video</a> related to this topic.</p></p>"
Cloud Native,Assess,Techniques,TRUE,"<p>See our <a href=""https://www.youtube.com/watch?v=tuQz18Z8tyA""> video </a>related to this topic.</p>"
NoSQL,Assess,Techniques,FALSE,<p>We see NoSQL as a valuable options which need to be assessed when redesign an existing or create a new application.  Re-evaluating the use of a standard SQL solution cloud be very useful both cost and development wise.</p>
Cloud Agnositc,Assess,Techniques,TRUE,<p>From our perpective it is wise to assess if you want a cloud agnostic solution. Vendor locking is not necessarily a problem but assessing up front is advised.</p>
DevSecOps,Trail,Techniques,FALSE,<p>DevSecOps is an augmentation of DevOps to allow for security practices to be integrated into the DevOps approach. The traditional centralised security team model must adopt a federated model allowing each delivery team the ability to factor in the correct security controls into their DevOps practices.</p>
Infrastructure as code,Trail,Techniques,FALSE,"<p>Infrastructure as code (IaC) is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools.[1] The IT infrastructure managed by this process comprises both physical equipment, such as bare-metal servers, as well as virtual machines, and associated configuration resources. The definitions may be in a version control system. It can use either scripts or declarative definitions, rather than manual processes, but the term is more often used to promote declarative approaches</p>"
Azure DevOps,Adopt,Platforms,FALSE,"<p>See our <a href=""https://www.bergler.nl/gebruik-epic-en-feature-timelines-in-azure-devops/"">blog post</a> or <a href=""https://www.youtube.com/watch?v=eyKO1fsV4uc"">video</a> related to this topic</p>"
Kubernetes,Adopt,Platforms,FALSE,"<p>See our <a href=""https://www.youtube.com/watch?v=nMTPrdgkGs0&t=119s""> video </a>related to this topic.</p>"
AKS,Adopt,Platforms,FALSE,"<p>See our <a href=""https://www.youtube.com/watch?v=nMTPrdgkGs0&t=119s""> video </a>related to this topic</p>"
Docker,Adopt,Platforms,FALSE,"<p>See our <a href=""https://www.youtube.com/watch?v=k06_SCgbCHY&t=4s""> video </a>related to this topic.</p>"
Progressive WebApps,Adopt,Platforms,FALSE,"<p>See our <a href=""https://www.bergler.nl/progressive-web-apps/""> blog post </a>  or <a href=""https://www.youtube.com/watch?v=sB0KJK1FNPw""> video </a>related to this topic</p>"
Azure functions,Assess,Platforms,TRUE,<p>The general direction of application development is cutting up monoliths in smaller part. Azure functions could be the next itteration of this concept. </p>
IoT,Assess,Platforms,TRUE,"<p>Internet of things is a hot topic for many years now, we see the maturity level has gone up significantly </p>"
Git,Adopt,Tools,FALSE,"<p>See our <a href=""https://www.youtube.com/watch?v=OtQ05P5OB5Q&t=2s""> video </a> or this <a href=""https://www.youtube.com/watch?v=d97KKcBhG6Y""> video </a> related to this topic.</p>"
OpenID Connect,Adopt,Tools,FALSE,"<p>See our <a href=""https://www.youtube.com/watch?v=ibYwGylD3TQ""> video </a>related to this topic</p>"
Automated dependency check,Adopt,Tools,FALSE,"<p>Whitesource, sonatype Nexus lifecycle, prisma cloud,</p>"
Dependabot,Assess,Tools,FALSE,<p>Security and feature wise it could be wise to update you dependencies regulary. Dependabot can do this automated and generate pull requests.</p>
Helm,Assess,Tools,FALSE,"<p>Helm package manager for kubernetes, making adoption and development of kubernetes apps easier for those with little container experience.</p>"
SignalR,Assess,Tools,FALSE,"<p>SignalR is around for some time now, but currently mature enough. It can be used for ""real-time"" communication with the browser.</p>"
CosmosDB,Assess,Tools,FALSE,"<p>Azure Cosmos DB is Microsoft’s fast NoSQL database with open APIs for any scale. The service is designed to allow customers to elastically (and independently) scale throughput and storage across any number of geographical regions. Azure Cosmos DB is the first globally distributed database service in the market today to offer comprehensive service level agreements encompassing throughput, latency, availability, and consistency.</p>"
AKKA.net,Trail,Tools,FALSE,<p>Akka.NET offers a way to build your application using actors. The framework solves a typical concurrency problem. In a regular application if you want concurrency you're have to use things like locks and signals</p>
DAPR,Hold,Tools,FALSE,"<p>Dapr provides many capabilities in its actor runtime including concurrency, state, life-cycle management for actor activation/deactivation and timers and reminders to wake-up actors. Developers can easily implement the actor pattern for microservices running on top of Dapr</p>"
C# 9,Adopt,languages-and-frameworks,TRUE,<p>C# 9 is the newest version of the C# language offering support of some new useful features like records. </p>
Angular,Adopt,languages-and-frameworks,FALSE,"<p>See our <a href=""https://www.youtube.com/watch?v=sB0KJK1FNPw""> video </a>related to this topic</p>"
.NET 5,Adopt,languages-and-frameworks,TRUE,<p>.NET 5 is the newest version of the .NET framework where .NET core and .NET fullframe work merge together to one framework.</p>
Xunit,Adopt,languages-and-frameworks,FALSE,<p>For many years xunit is the default testing framework in the .NET development community. </p>
Specflow,Adopt,languages-and-frameworks,FALSE,<p>SpecFlow helps teams bind automation to feature files and share the resulting examples as Living Documentation across the team and stakeholders.</p>
VUE.js,Assess,languages-and-frameworks,FALSE,"<p>VUE.js surprisingly easy to start with, offers plenty of essential features out of the box, and offers very goed performance.</p>"
GraphQL,Assess,languages-and-frameworks,FALSE,""
Python,Assess,languages-and-frameworks,FALSE,"<p>See our <a href=""https://www.bergler.nl/python-een-korte-introductie-voor-c-ontwikkelaars/""> blog post </a>related to this topic</p>"
GO,Assess,languages-and-frameworks,FALSE,"<p>To learn multiple programming language is a good idea. GO could be a good contender. Go has the same performance as C, but it is much easier to maintain than Java. Without the need for a virtual machine, Go boasts easier maintenance and no warming up period.</p>"
Blazor,Assess,languages-and-frameworks,FALSE,"<p>Blazor is a .NET framework for creating a single-page application that allows you to create your application using C#, Razor and HTML. The client-side of Blazor uses WebAssembly, which has been shipped with major browser engines, such as Internet Explorer, Chrome, Safari and Firefox. WebAssembly is an alternative to JavaScript in writing client-side code. And it can be converted using many different programming languages. In Blazor’s instance, it is converted using C#.</p>"
Bootstrap 5,Trail,languages-and-frameworks,TRUE,"<p>Bootstrap is an Open Source project, a library that has been on the rise for several years now, and as the interest in it is growing, we can say that it still has many beautiful and long years ahead of it. Version 5 is the latest version and seeing if this adds value for you could be a good idea.</p>"
